Quartal;IVW-Nr.;Titel-Nr.;Titel;Zusatz;Ort;Verlagsnummer;Erscheinungsweisen;Kennzeichen Statistik;Mitgliedsnummer;Verbreitung;Verkauf;Druckauflage gesamt;Verkauf zur Weitergabe an Kunden;Abo gesamt;dav Mehrf 25;dav Mitgl;EV-Verkauf;EV-Lieferung;Remittenden;Lesezirkel;Bordexemplare;Sonst Verk;Freist gesamt;davon ausgelegt;Zahl Auslege-Stellen;Reste/Belege;Sonderhinweis;Verbreitung (Ausland);Verkauf (Ausland);Druckauflage gesamt (A);Verkauf zur Weitergabe an Kunden (A);Abo gesamt (A);dav Mehrf 25 (A);dav Mitgl (A);EV-Verkauf (A);EV-Lieferung (A);Remittenden (A);Lesezirkel (A);Bordexemplare (A);Sonst Verk (A);Freist gesamt (A);davon ausgelegt (A);Zahl Auslege-Stellen (A);Reste/Belege (A);Sachgruppe;Bindeauflage;VerkAuflage;VertriebAb;Postvert_gesamt;Postvert_CDROM;Direktvertr_gesamt;Direktvertr_CDROM;Verbreitung_gesamt;Verbreitung_CDROM;Korrektur_KZ;Supplement_Gesamtverkauf;Supplement_Sonstige_Verbreitung_gesamt;Nicht_IVW-angeschlossene_Trägerobjekte;Bindeauflage (CD);VerkAuflage (CD);Freist gesamt (CD);Erschienen;ZIS-Schlüssel/PZ-Nr.
20212;3120201312;2932;Gastronomie & Hotel Impulse;;Mannheim;3759;9 x jähr;11;2932;19672;11114;20000;;8314;;6393;;;;;;2800;8558;;;;;;;;;;;;;;;;;;;;;;302;;;;;;;;;;;;;;;;;;0
20212;2231201102;2949;Partner Hund;;München;6678;mtl;11;2949;28820;28312;49600;;15356;;;10537;30829;20292;899;1333;187;508;;;;;1711;1709;;;1068;;;631;2314;1683;;;10;2;;;;216;;;;;;;;;;;;;;;;;;592344
20212;2231201102;11742;Partner Hund;davon ePaper;München;6678;mtl;12;11742;;;;;;;;;;;;;;;;;;Auflagenmeldung nicht eingetroffen;;;;;;;;;;;;;;;;;;216;;;;;;;;;;;;;;;;;;592344
20212;2231201096;2950;Geliebte Katze;;München;6678;mtl;11;2950;27561;27146;49933;;15037;;;10993;32737;21744;646;;470;415;;;;;2025;2025;;;1045;;;976;2777;1801;;;4;;;;;216;;;;;;;;;;;;;;;;;;519064
20212;2231201096;11741;Geliebte Katze;davon ePaper;München;6678;mtl;12;11741;;;;;;;;;;;;;;;;;;Auflagenmeldung nicht eingetroffen;;;;;;;;;;;;;;;;;;216;;;;;;;;;;;;;;;;;;519064
20212;2310101010;2952;Focus;;München;574;woe;11;2952;248715;246348;289213;;176869;23;26617;32084;128876;96792;32107;334;4954;2367;;;;;2527;2479;;;523;;2;1765;6368;4603;96;;95;48;;;;201;;;;;;;;;;;;;;;;;;568406
20212;2310101010;10173;Focus;davon ePaper;München;574;woe;12;10173;59445;59445;;;55506;;18008;182;182;;;326;3431;;;;;;;;;;;;;;;;;;;;;;;201;;;;;;;;;;;;;;;;;;568406
20212;3630201012;2960;ZZA Zoologischer Zentral Anzeiger;;Wiesbaden;488;mtl;11;2960;8456;1378;8667;;564;;379;;;;;;814;7078;;;;;359;208;;;27;;4;;;;;;181;151;;;;314;;;;;;;;;;;;;;;;;;0
20212;3100601072;2965;Bauernzeitung;;Berlin;489;woe;11;2965;17312;16974;17984;;14863;57;;382;1103;721;;;1729;338;;;;;33;29;;;29;;;;;;;;;4;;;;306;;;;;;;;;;;;;;;;;;0
20212;3100601072;10111;Bauernzeitung;davon ePaper;Berlin;489;woe;12;10111;588;588;;;187;;;8;8;;;;393;;;;;;;;;;;;;;;;;;;;;;;306;;;;;;;;;;;;;;;;;;0
20212;3100801082;2967;Deutsches Bienenjournal;;Berlin;489;mtl;11;2967;25208;24563;24093;;23603;;7366;27;27;;;;933;645;;;;;705;671;;;671;;21;;;;;;;34;;;;306;;;;;;;;;;;;;;;;;;0
20212;3100801082;10453;Deutsches Bienenjournal;davon ePaper;Berlin;489;mtl;12;10453;1806;1806;;;846;;;27;27;;;;933;;;;;;;;;;;;;;;;;;;;;;;306;;;;;;;;;;;;;;;;;;0
20212;2231201112;2968;Hund, Der;;Merching;628;mtl;11;2968;19142;18005;28767;;7465;;;2332;11684;9352;2874;5000;334;1137;605;20;;;532;532;;;356;;;176;607;431;;;;;;;;216;;;;;;;;;;;;;;;;;;562505
20212;3070201134;2971;Personalführung;;Berlin;492;mtl;11;2971;5036;4473;7000;;4440;;3811;;;;;;33;563;;;;;80;80;;;80;;;;;;;;;;;;;301;;;;;;;;;;;;;;;;;;0
20212;1593611000;2977;Oberbayerisches Volksblatt Stadt/Land;;Rosenheim;1237;Mo-Fr;10;2977;25087;24720;26625;;23317;;;1231;2552;1321;;;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100542
20212;1593611000;11149;Oberbayerisches Volksblatt Stadt/Land;davon ePaper;Rosenheim;1237;Mo-Fr;10;11149;1138;1007;;;959;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100542
20212;1593611000;2978;Oberbayerisches Volksblatt Stadt/Land;;Rosenheim;1237;Sa;10;2978;28778;28427;30988;;25178;;;2954;4926;1972;;;295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100542
20212;1593611000;11150;Oberbayerisches Volksblatt Stadt/Land;davon ePaper;Rosenheim;1237;Sa;10;11150;1138;1007;;;959;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100542
20212;5190101022;2983;rtv PLUS TV-MAGAZIN Kombi  [inklusive ePaper];(rtv,Stern TV Magazin,tvtv Magazin,tvtv,SZ Ferns.);Nürnberg;1174;woe;11;2983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5301586;1887;55705;;;;;511365
20212;2310101302;2984;Wirtschaft regional-Ostwürttemberg;;Aalen;467;mtl;11;2984;11160;1023;12000;;859;;;13;40;27;;;151;10137;;;;;;;;;;;;;;;;;;;;;;220;;;;;;;;;;;;;;;;;;590387
20212;1544000000;2990;Offenbach-Post;;Offenbach;1189;Mo-Fr;10;2990;28465;27971;29696;;25333;;;1622;3294;1672;;;1016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101823
20212;1544000000;8156;Offenbach-Post;davon ePaper;Offenbach;1189;Mo-Fr;10;8156;2416;2416;;;1747;;;;;;;;669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101823
20212;1544000000;2991;Offenbach-Post;;Offenbach;1189;Sa;10;2991;33690;33200;35935;;27273;;;4914;7554;2640;;;1013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101823
20212;1544000000;8157;Offenbach-Post;davon ePaper;Offenbach;1189;Sa;10;8157;2416;2416;;;1747;;;;;;;;669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101823
20212;4010102610;2992;Senioren Ratgeber/Diabetes Ratgeber-Kombi;;Baierbrunn;1025;mtl;10;2992;2482529;2474325;2499093;2474325;;;;;;;;;;8204;;;;;41800;41767;;41767;;;;;;;;;;33;;;;401;;;;;;;;;;;;;;;;;;546773
20212;3023001014;2993;Zentralsterilisation;;Wiesbaden;1351;6 x jähr;11;2993;4010;2312;4000;;2140;;1467;;;;;;172;1698;;;;;778;703;;;616;;452;;;;;;87;75;;;;311;;;;;;;;;;;;;;;;;;0
20212;3023001014;12145;Zentralsterilisation;davon ePaper;Wiesbaden;1351;6 x jähr;12;12145;278;265;;;93;;17;;;;;;172;13;;;;;;;;;;;;;;;;;;;;;;311;;;;;;;;;;;;;;;;;;0
20212;1067100000;2997;taz.die tageszeitung gesamt;;Berlin;1292;Mo-Fr;10;2997;48035;46127;39893;;36528;;;1500;11822;10322;;;8099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101989
20212;1067100000;8372;taz.die tageszeitung gesamt;davon ePaper;Berlin;1292;Mo-Fr;10;8372;21330;19995;;;13525;;;12;12;;;;6458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101989
20212;1067100000;2998;taz.die tageszeitung gesamt;;Berlin;1292;Sa;10;2998;68546;66374;65781;;52182;;;3722;17616;13894;;;10470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101989
20212;1067100000;8373;taz.die tageszeitung gesamt;davon ePaper;Berlin;1292;Sa;10;8373;21356;20012;;;13513;;;47;47;;;;6452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101989
20212;1067111000;2999;taz.die tageszeitung berlin;;Berlin;1292;Mo-Fr;10;2999;5243;5074;8916;;4235;;;413;3819;3406;;;426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101401
